item_id;order_id;customer_id;product_id;sales_amount;quantity;discount;profit;margin
101;158568;630;TEC-AC-10001767;95.98;3;0.2;-10.8;-0.34
102;158568;630;OFF-BI-10002609;1.79;3;0.8;-3.04;-5.09
103;129903;297;OFF-PA-10004040;23.92;4;0;11.72;1.96
104;156867;457;TEC-AC-10001552;238.9;6;0.2;-26.88;-0.68
105;156867;457;FUR-FU-10004006;102.36;3;0.2;-3.84;-0.11
106;156867;457;OFF-BI-10002794;36.88;3;0.7;-25.82;-2.1
107;119004;349;TEC-AC-10003499;74.11;8;0.2;17.6;1.9
108;119004;349;TEC-PH-10002844;27.99;1;0.2;2.1;0.08
109;119004;349;OFF-AR-10000390;3.3;1;0.2;1.07;0.32
110;129476;603;TEC-AC-10000844;339.96;5;0.2;67.99;1
111;146780;186;FUR-FU-10001934;41.96;2;0;10.91;0.52
112;128867;170;OFF-AR-10000380;75.96;2;0;22.79;0.6
113;128867;170;OFF-BI-10003981;27.24;6;0;13.35;2.94
114;115259;663;OFF-FA-10000621;40.1;14;0.2;14.53;5.07
115;115259;663;OFF-EN-10002600;4.72;2;0.2;1.65;0.7
116;115259;663;OFF-PA-10004965;23.98;3;0.2;7.49;0.94
117;115259;663;OFF-EN-10002504;130.46;6;0.2;44.03;2.02
118;110457;205;FUR-TA-10001768;787.53;3;0;165.38;0.63
119;136476;309;OFF-BI-10003650;157.79;1;0.7;-115.72;-0.73
120;103730;714;FUR-FU-10002157;47.04;3;0;18.35;1.17
121;103730;714;OFF-BI-10003910;30.84;4;0;13.88;1.8
122;103730;714;OFF-ST-10000777;226.56;6;0;63.44;1.68
123;103730;714;OFF-EN-10002500;115.02;9;0;51.76;4.05
124;103730;714;TEC-PH-10003875;68.04;7;0;19.73;2.03
125;152030;12;FUR-CH-10004063;600.56;3;0.3;-8.58;-0.04
126;134614;610;FUR-TA-10004534;617.7;6;0.5;-407.68;-3.96
127;107272;772;OFF-BI-10003274;2.39;2;0.7;-1.83;-1.53
128;107272;772;OFF-ST-10002974;243.99;7;0.2;30.5;0.88
129;125969;464;FUR-CH-10001146;81.42;2;0.2;-9.16;-0.23
130;125969;464;FUR-FU-10003773;238.56;3;0;26.24;0.33
131;164147;238;TEC-PH-10002293;59.97;5;0.4;-11.99;-1
132;164147;238;OFF-PA-10002377;78.3;2;0.2;29.36;0.75
133;164147;238;OFF-FA-10002780;21.46;9;0.2;6.97;2.92
134;145583;458;OFF-PA-10001804;20.04;3;0;9.62;1.44
135;145583;458;OFF-PA-10001736;35.44;1;0;16.66;0.47
136;145583;458;OFF-AR-10001149;11.52;4;0;3.46;1.2
137;145583;458;OFF-FA-10002988;4.02;2;0;1.97;0.98
138;145583;458;OFF-BI-10004781;76.18;3;0.2;26.66;1.05
139;145583;458;OFF-SU-10001218;65.88;6;0;18.45;1.68
140;145583;458;FUR-FU-10001706;43.12;14;0;20.7;6.72
141;110366;392;FUR-FU-10004848;82.8;2;0.2;10.35;0.25
142;106180;664;OFF-AR-10000940;8.82;3;0;2.38;0.81
143;106180;664;OFF-EN-10004030;10.86;3;0;5.1;1.41
144;106180;664;OFF-PA-10004327;143.7;3;0;68.98;1.44
145;155376;671;OFF-AP-10001058;839.43;3;0;218.25;0.78
146;110744;327;OFF-ST-10003656;671.93;7;0;20.16;0.21
147;110072;511;FUR-FU-10000521;93.89;4;0.2;12.91;0.55
148;114489;410;TEC-PH-10000215;384.45;11;0;103.8;2.97
149;114489;410;TEC-PH-10001448;149.97;3;0;6;0.12
150;114489;410;FUR-CH-10000454;1951.84;8;0;585.55;2.4
151;114489;410;OFF-BI-10002735;171.55;5;0;80.63;2.35
152;158834;734;OFF-AP-10000326;157.92;5;0.2;17.77;0.56
153;158834;734;TEC-PH-10001254;203.18;2;0.2;15.24;0.15
154;124919;709;OFF-PA-10001950;58.38;7;0;26.27;3.15
155;124919;709;OFF-PA-10002254;105.52;4;0;48.54;1.84
156;124919;709;OFF-ST-10001590;80.88;6;0;21.03;1.56
157;118948;565;OFF-AR-10001547;6.63;3;0;1.79;0.81
158;104269;203;FUR-CH-10004063;457.57;2;0.2;51.48;0.23
159;114104;577;OFF-LA-10002475;14.62;2;0;6.87;0.94
160;114104;577;TEC-PH-10004536;944.93;7;0;236.23;1.75
161;162733;737;OFF-PA-10002751;5.98;1;0;2.69;0.45
162;119697;263;TEC-AC-10003657;54.38;2;0.2;1.36;0.05
163;154508;659;OFF-EN-10001990;28.4;5;0;13.35;2.35
164;113817;515;OFF-BI-10004002;27.68;2;0.2;9.69;0.7
165;139892;76;OFF-AR-10004441;9.94;3;0.2;2.73;0.82
166;139892;76;TEC-MA-10000822;8159.95;8;0.4;-1359.99;-1.33
167;139892;76;OFF-ST-10000991;275.93;3;0.2;-58.63;-0.64
168;139892;76;FUR-CH-10004287;1740.06;9;0.3;-24.86;-0.13
169;139892;76;OFF-AR-10002656;32.06;6;0.2;6.81;1.27
170;139892;76;OFF-AP-10002518;177.98;5;0.8;-453.85;-12.75
171;139892;76;TEC-PH-10003931;143.98;3;0.2;9;0.19
172;118962;141;OFF-PA-10000659;20.94;3;0;9.84;1.41
173;118962;141;OFF-PA-10001144;110.96;2;0;53.26;0.96
174;118962;141;FUR-CH-10003817;340.14;7;0.2;21.26;0.44
175;100853;359;OFF-AP-10000891;52.45;2;0.8;-131.12;-5
176;100853;359;OFF-LA-10003148;20.16;4;0.2;6.55;1.3
177;152366;699;OFF-AP-10002684;97.26;4;0.8;-243.16;-10
178;101511;382;FUR-CH-10004698;396.8;7;0.3;-11.34;-0.2
179;101511;382;OFF-SU-10002189;15.88;5;0.2;-3.77;-1.19
180;137225;375;OFF-AR-10001940;3.28;1;0;1.41;0.43
181;166191;209;OFF-ST-10003455;24.82;2;0.2;1.86;0.15
182;166191;209;TEC-AC-10004659;408.74;7;0.2;76.64;1.31
183;158274;644;TEC-PH-10003273;503.96;4;0;131.03;1.04
184;158274;644;TEC-PH-10004896;149.95;5;0;41.99;1.4
185;158274;644;TEC-AC-10002345;29;2;0;7.25;0.5
186;105018;665;OFF-BI-10001890;7.16;2;0;3.44;0.96
187;123260;285;TEC-AC-10002323;176.8;8;0;22.98;1.04
188;157000;24;OFF-ST-10001328;37.22;3;0.2;3.72;0.3
189;157000;24;OFF-PA-10001950;20.02;3;0.2;6.26;0.94
190;102281;497;FUR-BO-10002613;899.14;4;0.2;112.39;0.5
191;102281;497;TEC-PH-10001552;71.76;6;0;20.09;1.68
192;102281;497;OFF-PA-10000061;51.84;8;0;24.88;3.84
193;102281;497;FUR-BO-10002545;626.35;3;0.2;46.98;0.23
194;102281;497;OFF-AR-10003514;19.9;5;0;6.57;1.65
195;131457;500;OFF-EN-10001509;14.28;7;0;6.71;3.29
196;140004;134;OFF-AR-10004685;7.41;2;0.2;1.2;0.32
197;140004;134;OFF-AR-10004027;6.05;3;0.2;1.59;0.79
198;107720;777;OFF-ST-10001414;46.26;3;0;12.03;0.78
199;124303;290;OFF-BI-10000343;2.95;2;0.7;-2.26;-1.53
200;124303;290;OFF-PA-10002749;16.06;3;0.2;5.82;1.09
201;105074;486;OFF-PA-10002666;21.74;3;0.2;6.8;0.94
202;133690;117;FUR-TA-10004289;218.75;2;0.5;-161.88;-1.48
203;133690;117;OFF-AP-10003622;2.6;1;0.2;0.29;0.11
204;116701;475;OFF-AP-10003217;66.28;2;0.8;-178.97;-5.4
205;126382;325;FUR-FU-10002960;35.17;7;0.2;9.67;1.92
206;108329;453;TEC-PH-10001918;444.77;4;0.2;44.48;0.4
207;135860;398;OFF-ST-10000642;83.92;4;0;5.87;0.28
208;135860;398;TEC-PH-10001700;131.98;2;0;35.63;0.54
209;135860;398;OFF-BI-10003274;15.92;4;0;7.48;1.88
210;135860;398;OFF-FA-10000134;52.29;9;0;16.21;2.79
211;135860;398;OFF-ST-10001522;91.99;1;0;3.68;0.04
212;101007;531;TEC-AC-10001266;20.8;2;0.2;6.5;0.63
213;146262;783;OFF-LA-10004544;23.68;2;0.2;8.88;0.75
214;146262;783;FUR-BO-10004695;452.45;5;0.5;-244.32;-2.7
215;146262;783;TEC-PH-10002844;62.98;3;0.4;-14.7;-0.7
216;146262;783;TEC-MA-10000864;1188;9;0.7;-950.4;-7.2
217;146262;783;TEC-AC-10000109;89.58;2;0.2;4.48;0.1
218;130162;393;OFF-ST-10001328;93.06;6;0;26.06;1.68
219;130162;393;TEC-PH-10002563;302.38;3;0.2;22.68;0.23
220;169397;394;OFF-FA-10000585;5.58;2;0.2;1.81;0.65
221;169397;394;OFF-PA-10004000;22.7;6;0.2;8.23;2.18
222;169397;394;OFF-BI-10002852;19.78;4;0.7;-13.84;-2.8
223;169397;394;FUR-FU-10000087;72.7;4;0.2;19.08;1.05
224;169397;394;TEC-MA-10001148;479.99;4;0.7;-383.99;-3.2
225;169397;394;OFF-AR-10001958;27.17;2;0.2;2.72;0.2
226;163055;211;OFF-AR-10001026;2.2;1;0;0.97;0.44
227;163055;211;FUR-TA-10003748;622.45;5;0;136.94;1.1
228;163055;211;OFF-ST-10002485;21.98;1;0;0.22;0.01
229;145436;776;FUR-CH-10004860;161.57;2;0.2;-28.27;-0.35
230;145436;776;FUR-CH-10004477;389.7;8;0.2;43.84;0.9
231;156216;268;OFF-BI-10001679;18.65;7;0.7;-12.43;-4.67
232;100930;159;FUR-TA-10001705;233.86;2;0.45;-102.05;-0.87
233;100930;159;FUR-TA-10003473;620.61;3;0.45;-248.25;-1.2
234;100930;159;OFF-BI-10001679;5.33;2;0.7;-3.55;-1.33
235;100930;159;FUR-FU-10004017;258.07;3;0.2;0;0
236;100930;159;TEC-AC-10003832;617.98;3;0.2;-7.72;-0.04
237;160514;207;OFF-PA-10002479;10.56;2;0;4.75;0.9
238;157749;442;OFF-PA-10003349;25.92;5;0.2;9.4;1.81
239;157749;442;FUR-FU-10000576;419.68;5;0.6;-356.73;-4.25
240;157749;442;FUR-FU-10004351;11.69;3;0.6;-4.68;-1.2
241;157749;442;TEC-PH-10000011;31.98;2;0.2;11.19;0.7
242;157749;442;FUR-TA-10002607;177.23;5;0.5;-120.51;-3.4
243;157749;442;FUR-FU-10002505;4.04;3;0.6;-2.83;-2.1
244;157749;442;OFF-AR-10004685;7.41;2;0.2;1.2;0.32
245;131926;231;FUR-CH-10004063;2001.86;7;0;580.54;2.03
246;131926;231;OFF-ST-10002276;166.72;2;0;41.68;0.5
247;131926;231;OFF-PA-10004082;47.88;6;0;23.94;3
248;131926;231;OFF-AP-10002945;1503.25;5;0;496.07;1.65
249;131926;231;OFF-PA-10000061;25.92;4;0;12.44;1.92
250;154739;476;FUR-CH-10002965;321.57;2;0.2;28.14;0.18
251;145625;435;OFF-PA-10004569;7.61;1;0;3.58;0.47
252;145625;435;TEC-AC-10003832;3347.37;13;0;636;2.47
253;146941;220;OFF-ST-10001228;80.58;6;0;22.56;1.68
254;146941;220;OFF-EN-10003296;361.92;4;0;162.86;1.8
255;159982;191;FUR-FU-10002505;12.13;9;0.6;-8.49;-6.3
256;159982;191;OFF-ST-10004804;82.37;2;0.2;-19.56;-0.47
257;159982;191;OFF-ST-10001590;53.92;5;0.2;4.04;0.37
258;159982;191;TEC-PH-10001580;647.9;6;0.2;56.69;0.52
259;163139;177;TEC-AC-10000290;20.37;3;0;6.93;1.02
260;163139;177;OFF-ST-10002790;221.55;3;0;6.65;0.09
261;163139;177;OFF-BI-10003460;17.52;5;0.2;6.13;1.75
262;155299;239;OFF-AP-10002203;1.62;2;0.8;-4.47;-5.52
263;106992;685;TEC-MA-10000822;3059.98;3;0.4;-510;-0.5
264;106992;685;TEC-MA-10003353;2519.96;7;0.4;-252;-0.7
265;125318;654;TEC-PH-10001433;328.22;4;0.2;28.72;0.35
266;155040;14;TEC-AC-10004469;79.9;2;0;35.16;0.88
267;136826;168;OFF-AR-10003602;14.02;3;0.2;4.73;1.01
268;111010;592;OFF-FA-10003472;7.56;6;0;0.3;0.24
269;145366;153;OFF-ST-10004180;37.21;1;0.2;-7.44;-0.2
270;145366;153;OFF-EN-10004386;57.58;3;0.2;21.59;1.12
271;163979;445;OFF-ST-10003208;725.84;4;0;210.49;1.16
272;155334;327;TEC-AC-10003628;209.93;7;0;92.37;3.08
273;155334;327;FUR-FU-10003274;5.28;3;0;2.32;1.32
274;155334;327;OFF-BI-10002557;10.92;3;0.2;4.1;1.13
275;118136;66;OFF-PA-10002615;8.82;2;0;4.06;0.92
276;118136;66;OFF-AR-10001427;5.98;1;0;1.55;0.26
277;132976;33;OFF-PA-10000673;11.65;2;0.2;4.08;0.7
278;132976;33;OFF-PA-10004470;18.18;4;0.2;5.91;1.3
279;132976;33;OFF-ST-10000876;59.71;6;0.2;5.97;0.6
280;132976;33;OFF-LA-10002043;24.84;3;0.2;8.69;1.05
281;161991;714;OFF-BI-10004967;2.08;5;0.8;-3.43;-8.25
282;161991;714;TEC-PH-10001760;1114.4;7;0.2;376.11;2.36
283;130890;351;FUR-TA-10002903;1038.84;5;0.2;51.94;0.25
284;130883;766;OFF-PA-10000474;141.76;5;0.2;47.84;1.69
285;130883;766;TEC-AC-10001956;239.8;5;0.2;47.96;1
286;130883;766;OFF-PA-10004100;31.1;6;0.2;10.89;2.1
287;112697;13;OFF-BI-10000778;254.06;7;0.7;-169.37;-4.67
288;112697;13;OFF-AP-10002684;194.53;2;0.2;24.32;0.25
289;112697;13;OFF-SU-10000646;961.48;5;0.2;-204.31;-1.06
290;110772;570;OFF-FA-10002983;19.1;7;0.2;6.68;2.45
291;110772;570;OFF-LA-10004689;18.5;8;0.2;6.24;2.7
292;110772;570;TEC-AC-10002001;255.98;2;0.2;54.4;0.43
293;110772;570;FUR-BO-10004709;86.97;3;0.5;-48.7;-1.68
294;111451;436;FUR-FU-10004091;300.42;8;0.2;78.86;2.1
295;111451;436;FUR-CH-10001891;230.35;3;0.2;20.16;0.26
296;111451;436;FUR-FU-10002918;218.35;3;0.2;-24.56;-0.34
297;111451;436;OFF-BI-10004593;78.6;5;0.7;-62.88;-4
298;111451;436;OFF-FA-10004854;27.55;3;0.2;9.3;1.01
299;142545;392;OFF-PA-10002105;32.4;5;0;15.55;2.4
300;142545;392;OFF-ST-10002756;1082.48;8;0;10.82;0.08
301;142545;392;OFF-PA-10004243;56.91;3;0;27.32;1.44
302;142545;392;FUR-FU-10001861;77.6;4;0;38.02;1.96
303;142545;392;OFF-BI-10002706;14.28;1;0;6.57;0.46
304;152380;393;FUR-TA-10002533;219.08;3;0.5;-131.45;-1.8
305;144253;15;FUR-FU-10002671;26.8;2;0;12.86;0.96
306;130960;439;OFF-AR-10003651;9.84;3;0;2.85;0.87
307;111003;174;OFF-BI-10001072;45.48;3;0;20.92;1.38
308;111003;174;OFF-AR-10002135;289.2;6;0;83.87;1.74
309;126774;692;OFF-AR-10002804;4.89;1;0;2;0.41
310;142902;79;FUR-FU-10001918;15.14;4;0.2;3.59;0.95
311;142902;79;FUR-CH-10004086;466.77;2;0.2;52.51;0.22
312;142902;79;FUR-FU-10001756;15.23;1;0.2;1.71;0.11
313;142902;79;OFF-LA-10000634;6.26;3;0.2;2.04;0.98
314;120887;746;FUR-FU-10001588;87.54;3;0;37.64;1.29
315;167850;35;TEC-PH-10002398;178.38;2;0.2;22.3;0.25
316;167850;35;OFF-PA-10001937;15.55;3;0.2;5.44;1.05
317;164259;723;OFF-AR-10003373;99.14;4;0.2;8.67;0.35
318;164973;562;FUR-CH-10002602;135.88;1;0.1;24.16;0.18
319;164973;562;TEC-MA-10002927;3991.98;2;0;1995.99;1
320;164973;562;TEC-PH-10004093;275.94;6;0;80.02;1.74
321;164973;562;TEC-AC-10000892;360;4;0;129.6;1.44
322;164973;562;OFF-ST-10002974;43.57;1;0;13.07;0.3
323;156601;281;OFF-FA-10000624;7.16;2;0;3.58;1
324;162138;307;OFF-BI-10004593;251.52;6;0.2;81.74;1.95
325;162138;307;TEC-AC-10001908;99.99;1;0;35;0.35
326;153339;233;FUR-FU-10001967;15.99;1;0.2;1;0.06
327;141544;589;TEC-PH-10003645;290.9;3;0.4;-67.88;-0.7
328;141544;589;OFF-ST-10000675;54.22;2;0.2;3.39;0.13
329;141544;589;FUR-CH-10003312;786.74;4;0.3;-258.5;-1.31
330;141544;589;OFF-LA-10001074;100.24;10;0.2;33.83;3.37
331;141544;589;OFF-BI-10001524;37.76;6;0.7;-27.69;-4.4
332;150147;389;TEC-PH-10004614;82.8;2;0.4;-20.7;-0.5
333;150147;389;OFF-BI-10001153;20.72;2;0.7;-13.82;-1.33
334;150147;389;OFF-BI-10001982;4.9;3;0.7;-3.43;-2.1
335;137946;240;OFF-BI-10001922;4.75;1;0.2;1.6;0.34
336;137946;240;TEC-CO-10001449;959.98;2;0.2;335.99;0.7
337;137946;240;OFF-BI-10004140;14.37;4;0.2;4.49;1.25
338;129924;28;OFF-BI-10003314;7.71;2;0.2;2.8;0.73
339;129924;28;FUR-TA-10004575;698.35;3;0.2;-17.46;-0.08
340;128167;442;OFF-FA-10000490;4.96;4;0;2.33;1.88
341;122336;392;OFF-AR-10000122;17.86;4;0.2;1.12;0.25
342;122336;392;OFF-BI-10003656;509.97;10;0.7;-407.98;-8
343;122336;392;OFF-FA-10002780;30.99;13;0.2;10.07;4.22
344;122336;392;TEC-PH-10000702;71.93;12;0.4;8.39;1.4
345;120712;141;OFF-ST-10000107;88.8;4;0.2;-2.22;-0.1
346;169901;169;TEC-PH-10002293;47.98;3;0.2;4.8;0.3
347;134306;732;OFF-AR-10004027;7.56;3;0;3.1;1.23
348;134306;732;OFF-PA-10000249;24.56;2;0;11.54;0.94
349;134306;732;OFF-AR-10001374;12.96;2;0;4.15;0.64
350;129714;4;TEC-AC-10000290;6.79;1;0;2.31;0.34
351;129714;4;OFF-PA-10001970;24.56;2;0;11.54;0.94
352;129714;4;OFF-BI-10002160;3.05;1;0.2;1.07;0.35
353;129714;4;OFF-PA-10001970;49.12;4;0;23.09;1.88
354;129714;4;OFF-BI-10004995;4355.17;4;0.2;1415.43;1.3
355;138520;366;FUR-BO-10002268;388.7;6;0.2;-4.86;-0.08
356;138520;366;OFF-EN-10001137;8.26;2;0;3.8;0.92
357;138520;366;OFF-AR-10002399;17.04;4;0;6.99;1.64
358;138520;366;OFF-PA-10002713;34.4;5;0;15.82;2.3
359;130001;325;OFF-PA-10002666;36.24;5;0.2;11.33;1.56
360;155698;781;OFF-AP-10001124;647.84;8;0;168.44;2.08
361;155698;781;OFF-LA-10001158;20.7;2;0;9.94;0.96
362;144904;428;OFF-LA-10001158;20.7;2;0;9.94;0.96
363;144904;428;FUR-CH-10000785;488.65;3;0.1;86.87;0.53
364;144904;428;OFF-AR-10003732;5.56;2;0;1.45;0.52
365;144904;428;FUR-FU-10000023;47.12;8;0;20.73;3.52
366;123344;403;OFF-ST-10001713;211.96;4;0;8.48;0.16
367;155516;526;OFF-BI-10002412;23.2;4;0;10.44;1.8
368;155516;526;OFF-SU-10001225;7.36;2;0;0.15;0.04
369;155516;526;OFF-ST-10002406;104.79;7;0;29.34;1.96
370;155516;526;FUR-BO-10002545;1043.92;4;0;271.42;1.04
371;104745;316;OFF-PA-10002036;25.92;5;0.2;9.4;1.81
372;104745;316;OFF-ST-10002205;53.42;3;0.2;4.67;0.26
373;119137;60;OFF-BI-10001982;8.16;5;0.7;-5.71;-3.5
374;119137;60;TEC-AC-10003911;1023.94;8;0.2;179.19;1.4
375;119137;60;OFF-AR-10000658;9.24;1;0.2;0.92;0.1
376;119137;60;TEC-AC-10002076;479.04;10;0.2;-29.94;-0.63
377;134656;551;OFF-PA-10003039;99.14;4;0.2;30.98;1.25
378;134481;27;FUR-TA-10004915;1488.42;7;0.3;-297.68;-1.4
379;130792;660;OFF-AP-10000696;8.65;3;0.8;-20.33;-7.05
380;130792;660;OFF-ST-10003327;23.83;3;0.2;2.68;0.34
381;130792;660;OFF-BI-10000309;12.18;4;0.8;-18.87;-6.2
382;134775;19;OFF-PA-10004734;50.96;7;0;25.48;3.5
383;134775;19;OFF-BI-10002225;49.54;3;0.2;17.34;1.05
384;125395;451;TEC-AC-10004708;41.9;2;0;8.8;0.42
385;168935;228;FUR-TA-10000617;375.46;3;0.45;-157.01;-1.25
386;168935;228;TEC-AC-10002335;83.98;3;0.2;-1.05;-0.04
387;122756;214;TEC-MA-10001681;482.34;4;0.7;-337.64;-2.8
388;122756;214;FUR-FU-10001935;2.96;1;0.2;0.78;0.26
389;115973;561;OFF-AR-10004757;2.62;1;0.2;0.43;0.16
390;101798;545;OFF-BI-10000050;23.36;4;0.2;7.88;1.35
391;101798;545;TEC-AC-10001998;39.98;2;0;13.59;0.68
392;135972;340;TEC-PH-10003012;246.38;2;0.2;27.72;0.23
