order_id;order_date;ship_date;realisation_time;ship_id;reg_seller_id
101630;2016-02-19;2016-02-23;4;D2;4
101637;2017-03-24;2017-03-25;1;D0;2
101651;2016-12-24;2016-12-30;6;D3;8
101665;2017-11-25;2017-12-01;6;D3;8
101672;2016-10-03;2016-10-07;4;D3;7
101693;2016-06-25;2016-06-27;2;D2;1
101700;2017-04-23;2017-04-26;3;D1;8
101707;2015-08-27;2015-09-01;5;D3;7
101721;2017-07-23;2017-07-27;4;D3;1
101728;2017-08-19;2017-08-23;4;D3;2
101742;2016-09-23;2016-09-28;5;D2;4
101749;2017-10-03;2017-10-08;5;D3;8
101770;2014-03-31;2014-04-04;4;D3;6
101784;2017-07-06;2017-07-11;5;D3;8
101791;2016-05-27;2016-05-31;4;D3;2
101798;2017-12-11;2017-12-15;4;D3;4
101805;2017-12-01;2017-12-06;5;D3;7
101833;2014-11-17;2014-11-22;5;D2;4
101840;2017-02-06;2017-02-12;6;D3;3
101868;2015-06-09;2015-06-16;7;D3;5
101889;2015-12-27;2015-12-31;4;D3;3
101910;2015-11-27;2015-12-03;6;D3;8
101924;2015-09-04;2015-09-09;5;D3;7
101931;2014-10-28;2014-10-31;3;D1;8
101938;2016-01-07;2016-01-12;5;D3;7
101945;2017-11-24;2017-11-28;4;D3;2
101959;2017-02-28;2017-03-06;6;D3;4
101966;2016-07-14;2016-07-16;2;D2;2
101980;2016-08-19;2016-08-20;1;D1;3
101987;2016-06-24;2016-06-30;6;D3;1
102008;2014-09-30;2014-10-04;4;D3;3
102015;2015-09-12;2015-09-18;6;D3;3
102036;2015-09-21;2015-09-27;6;D3;7
102071;2014-05-09;2014-05-15;6;D3;8
102085;2014-10-04;2014-10-09;5;D3;8
102092;2016-12-09;2016-12-11;2;D1;6
102099;2017-12-18;2017-12-19;1;D1;8
102127;2016-06-26;2016-07-02;6;D3;4
102134;2016-03-14;2016-03-19;5;D3;1
102141;2016-08-26;2016-08-31;5;D3;4
102155;2017-07-13;2017-07-17;4;D3;1
102162;2016-09-11;2016-09-16;5;D3;5
102183;2017-08-21;2017-08-28;7;D3;4
102197;2017-12-20;2017-12-26;6;D3;3
102204;2017-05-01;2017-05-06;5;D3;6
102218;2017-09-02;2017-09-04;2;D2;7
102232;2016-08-05;2016-08-11;6;D3;5
102239;2016-05-05;2016-05-06;1;D1;7
102260;2015-09-22;2015-09-26;4;D3;6
102267;2017-11-30;2017-12-04;4;D3;2
102274;2014-11-21;2014-11-26;5;D3;6
102281;2015-10-12;2015-10-14;2;D1;4
102288;2017-06-19;2017-06-23;4;D3;2
102295;2014-11-24;2014-11-26;2;D2;7
102309;2017-09-23;2017-09-25;2;D2;5
102316;2015-03-01;2015-03-03;2;D2;7
102330;2014-12-29;2015-01-03;5;D3;8
102337;2017-06-13;2017-06-16;3;D1;2
102379;2017-12-02;2017-12-06;4;D3;8
102407;2017-12-09;2017-12-13;4;D2;7
102414;2017-05-15;2017-05-18;3;D2;8
102456;2016-02-27;2016-03-01;3;D1;4
102491;2015-08-24;2015-08-28;4;D3;6
102498;2016-07-24;2016-07-25;1;D1;6
102519;2017-11-27;2017-11-29;2;D1;2
102554;2017-06-11;2017-06-15;4;D3;6
102561;2016-07-18;2016-07-22;4;D3;4
102582;2015-09-15;2015-09-19;4;D3;5
102596;2016-12-27;2016-12-30;3;D1;3
102610;2017-11-04;2017-11-08;4;D3;5
102631;2014-12-13;2014-12-17;4;D3;1
102638;2017-12-29;2017-12-31;2;D1;4
102645;2014-01-23;2014-01-28;5;D3;8
102652;2014-04-06;2014-04-12;6;D3;7
102659;2017-12-09;2017-12-15;6;D3;1
102673;2014-11-01;2014-11-05;4;D3;5
102715;2014-04-11;2014-04-13;2;D2;5
102722;2015-04-18;2015-04-19;1;D1;6
102729;2017-10-26;2017-10-31;5;D3;2
102736;2017-09-05;2017-09-09;4;D3;5
102750;2017-09-04;2017-09-08;4;D2;7
102771;2017-03-31;2017-04-05;5;D3;3
102778;2015-11-21;2015-11-24;3;D1;5
102792;2016-12-13;2016-12-19;6;D3;8
102806;2015-05-21;2015-05-28;7;D3;4
102813;2016-07-02;2016-07-03;1;D1;2
102820;2017-05-07;2017-05-11;4;D3;8
102834;2017-03-09;2017-03-13;4;D3;7
102848;2015-11-07;2015-11-09;2;D2;8
102855;2015-04-05;2015-04-06;1;D0;7
102869;2014-09-09;2014-09-14;5;D2;4
102876;2015-09-07;2015-09-14;7;D3;4
102890;2017-06-30;2017-06-30;0;D0;3
102904;2017-11-13;2017-11-20;7;D3;6
102925;2017-11-05;2017-11-10;5;D2;3
102932;2016-09-19;2016-09-23;4;D2;3
102946;2017-06-30;2017-07-05;5;D3;7
102967;2017-09-22;2017-09-26;4;D3;3
102974;2017-09-19;2017-09-24;5;D3;8
102981;2016-09-06;2016-09-09;3;D2;3
102988;2014-04-05;2014-04-09;4;D2;5
103009;2017-11-03;2017-11-05;2;D2;6
103037;2016-07-25;2016-07-29;4;D3;2
103058;2014-07-23;2014-07-24;1;D1;3
103065;2017-10-20;2017-10-20;0;D0;5
103072;2015-09-27;2015-09-30;3;D2;2
103086;2014-10-17;2014-10-19;2;D2;1
103093;2015-02-03;2015-02-07;4;D3;6
103100;2014-12-20;2014-12-23;3;D1;1
103107;2016-07-04;2016-07-04;0;D0;7
103128;2016-11-11;2016-11-15;4;D3;2
103135;2015-07-24;2015-07-28;4;D3;5
103156;2017-11-23;2017-11-24;1;D1;4
103163;2016-06-07;2016-06-11;4;D3;8
103177;2015-05-30;2015-06-01;2;D1;4
103191;2014-09-22;2014-09-27;5;D3;1
103205;2015-12-08;2015-12-10;2;D2;1
103212;2017-10-13;2017-10-14;1;D1;5
103219;2014-11-09;2014-11-13;4;D3;4
103226;2017-09-22;2017-09-28;6;D3;7
103247;2017-10-05;2017-10-08;3;D2;4
103310;2014-05-10;2014-05-15;5;D3;7
103317;2014-07-05;2014-07-08;3;D1;6
103331;2014-08-26;2014-09-01;6;D3;3
103338;2014-03-11;2014-03-15;4;D3;7
103352;2017-11-27;2017-11-30;3;D2;4
103359;2016-12-22;2016-12-26;4;D3;4
103366;2014-01-15;2014-01-17;2;D1;6
103373;2014-05-18;2014-05-24;6;D3;3
103380;2017-11-21;2017-11-25;4;D3;8
103401;2014-11-21;2014-11-26;5;D3;7
103415;2017-12-03;2017-12-08;5;D3;1
103429;2014-05-30;2014-06-01;2;D1;3
103443;2017-12-17;2017-12-23;6;D3;3
103464;2016-11-18;2016-11-22;4;D3;8
103471;2015-12-24;2015-12-28;4;D3;8
103478;2017-07-21;2017-07-24;3;D2;1
103492;2014-10-10;2014-10-15;5;D3;1
103499;2017-11-20;2017-11-24;4;D3;6
103506;2017-07-23;2017-07-27;4;D3;3
103520;2017-09-23;2017-09-25;2;D1;2
103527;2014-09-09;2014-09-14;5;D2;1
103590;2014-11-30;2014-12-04;4;D3;3
103611;2017-09-12;2017-09-15;3;D1;8
103646;2016-04-21;2016-04-26;5;D3;1
103660;2014-08-25;2014-08-30;5;D3;8
103674;2016-12-06;2016-12-10;4;D3;8
103702;2014-09-12;2014-09-17;5;D3;3
103709;2016-09-08;2016-09-15;7;D3;7
103716;2015-04-30;2015-05-06;6;D3;7
103723;2015-12-01;2015-12-06;5;D3;7
103730;2016-06-12;2016-06-15;3;D1;3
103744;2014-02-23;2014-02-27;4;D3;1
103765;2017-11-24;2017-11-30;6;D3;1
103772;2015-06-28;2015-07-02;4;D3;5
103793;2015-03-26;2015-03-31;5;D3;5
103800;2014-01-03;2014-01-07;4;D3;2
103807;2014-12-02;2014-12-09;7;D3;5
103814;2017-12-09;2017-12-16;7;D3;1
103828;2017-08-13;2017-08-13;0;D0;8
103835;2015-09-24;2015-09-28;4;D3;7
103849;2014-05-11;2014-05-16;5;D3;1
103870;2015-12-27;2015-12-31;4;D3;5
103877;2017-09-07;2017-09-14;7;D3;1
103891;2016-07-12;2016-07-19;7;D3;8
103905;2014-07-14;2014-07-20;6;D3;2
103919;2016-10-03;2016-10-07;4;D3;2
103933;2015-09-25;2015-09-27;2;D1;3
103940;2014-09-17;2014-09-21;4;D3;7
103947;2016-04-01;2016-04-08;7;D3;8
103954;2015-08-09;2015-08-13;4;D2;1
103961;2015-11-05;2015-11-09;4;D3;2
103968;2017-12-01;2017-12-07;6;D3;8
103982;2016-03-03;2016-03-08;5;D3;1
103989;2014-03-19;2014-03-21;2;D1;6
103996;2015-03-29;2015-03-31;2;D2;7
104003;2017-10-07;2017-10-13;6;D3;7
104010;2017-04-23;2017-04-25;2;D1;4
104024;2017-08-29;2017-09-03;5;D2;4
104038;2015-02-06;2015-02-08;2;D1;6
104052;2015-03-01;2015-03-02;1;D1;2
104059;2015-06-13;2015-06-15;2;D2;4
104066;2017-12-05;2017-12-10;5;D3;3
104080;2017-03-08;2017-03-15;7;D3;7
104094;2017-09-07;2017-09-11;4;D3;1
104108;2017-12-02;2017-12-09;7;D3;2
104115;2015-06-12;2015-06-16;4;D3;6
104129;2015-02-27;2015-03-02;3;D3;3
104136;2017-11-01;2017-11-04;3;D2;4
104150;2016-08-03;2016-08-05;2;D2;1
104157;2016-07-25;2016-07-29;4;D3;5
104178;2014-08-25;2014-08-29;4;D3;8
104185;2015-09-03;2015-09-08;5;D2;3
104220;2017-01-30;2017-02-05;6;D3;1
104241;2015-01-04;2015-01-09;5;D3;6
104269;2014-03-01;2014-03-06;5;D2;8
104276;2016-11-27;2016-12-03;6;D3;5
104283;2014-06-27;2014-07-01;4;D3;6
104297;2015-05-29;2015-05-31;2;D1;3
104311;2016-05-02;2016-05-06;4;D3;1
104318;2017-05-13;2017-05-18;5;D3;6
104346;2015-12-11;2015-12-16;5;D3;7
104381;2017-12-16;2017-12-23;7;D3;3
104388;2017-07-05;2017-07-07;2;D1;1
104402;2014-06-17;2014-06-23;6;D3;4
104430;2015-10-22;2015-10-26;4;D3;1
104437;2017-01-27;2017-01-31;4;D3;4
104451;2017-05-08;2017-05-12;4;D2;8
104472;2014-06-02;2014-06-07;5;D3;7
104486;2015-05-01;2015-05-06;5;D3;8
104493;2015-10-02;2015-10-08;6;D3;8
104514;2015-01-02;2015-01-04;2;D2;4
104563;2014-03-07;2014-03-12;5;D3;8
104577;2017-05-12;2017-05-17;5;D3;4
104619;2017-01-24;2017-01-29;5;D3;7
104626;2015-09-01;2015-09-08;7;D3;4
104633;2016-06-12;2016-06-16;4;D3;8
104640;2017-11-10;2017-11-16;6;D3;4
104647;2017-02-23;2017-03-01;6;D3;8
104661;2017-01-15;2017-01-18;3;D1;1
104689;2016-12-01;2016-12-05;4;D3;7
104731;2017-07-21;2017-07-27;6;D3;5
104738;2014-12-30;2015-01-01;2;D2;1
104745;2017-05-29;2017-06-04;6;D3;2
104759;2014-03-31;2014-04-04;4;D3;1
104773;2014-12-08;2014-12-13;5;D3;2
104780;2014-05-21;2014-05-25;4;D3;7
104794;2016-12-16;2016-12-19;3;D1;4
104801;2017-02-13;2017-02-19;6;D3;7
104808;2014-02-04;2014-02-08;4;D2;8
104815;2016-09-03;2016-09-07;4;D3;2
104822;2017-10-20;2017-10-20;0;D0;3
104829;2014-11-18;2014-11-21;3;D2;8
104850;2017-06-13;2017-06-19;6;D3;7
104864;2017-11-18;2017-11-23;5;D2;6
104871;2015-03-30;2015-04-03;4;D3;2
104885;2017-03-02;2017-03-08;6;D3;3
104906;2017-02-13;2017-02-17;4;D3;4
104913;2017-11-18;2017-11-22;4;D3;3
104927;2017-12-22;2017-12-26;4;D3;1
104941;2015-06-13;2015-06-19;6;D3;5
104948;2015-11-13;2015-11-17;4;D3;7
104955;2017-03-19;2017-03-24;5;D3;4
104969;2016-04-08;2016-04-14;6;D3;4
104976;2014-12-09;2014-12-16;7;D3;7
104983;2016-07-03;2016-07-03;0;D0;4
105018;2016-11-28;2016-12-02;4;D3;4
105046;2017-07-17;2017-07-23;6;D3;4
105053;2017-07-07;2017-07-09;2;D2;3
105074;2017-06-24;2017-06-29;5;D3;4
105081;2016-12-25;2016-12-30;5;D3;8
105102;2015-09-15;2015-09-19;4;D2;3
105130;2017-11-21;2017-11-25;4;D3;7
105137;2014-10-10;2014-10-10;0;D0;3
105144;2017-11-04;2017-11-11;7;D3;2
105151;2014-03-30;2014-03-31;1;D1;4
105158;2015-09-05;2015-09-10;5;D3;1
105165;2014-09-07;2014-09-10;3;D1;2
105172;2014-04-04;2014-04-09;5;D3;8
105193;2017-03-25;2017-03-31;6;D3;3
105207;2016-01-03;2016-01-08;5;D3;2
105214;2017-06-16;2017-06-19;3;D1;7
105221;2015-11-01;2015-11-03;2;D1;4
105235;2017-12-05;2017-12-11;6;D3;3
105249;2014-11-28;2014-11-28;0;D0;8
105256;2016-05-20;2016-05-20;0;D0;5
105263;2016-08-06;2016-08-11;5;D3;4
105270;2014-11-11;2014-11-18;7;D3;8
105277;2016-12-04;2016-12-08;4;D3;4
105284;2016-11-24;2016-12-01;7;D3;3
105291;2016-10-30;2016-11-04;5;D3;7
105312;2015-11-06;2015-11-09;3;D1;8
105326;2017-08-20;2017-08-27;7;D3;7
105333;2017-11-30;2017-12-04;4;D3;4
105340;2014-11-22;2014-11-25;3;D1;2
105347;2015-11-24;2015-11-28;4;D3;7
105354;2016-12-02;2016-12-06;4;D3;1
105361;2015-03-29;2015-04-04;6;D3;3
105389;2017-10-23;2017-10-28;5;D2;1
105410;2017-03-19;2017-03-22;3;D1;7
105417;2014-01-07;2014-01-12;5;D3;2
105445;2017-02-20;2017-02-25;5;D2;8
105452;2016-07-28;2016-08-01;4;D3;2
105459;2016-08-12;2016-08-17;5;D2;4
105473;2016-04-16;2016-04-18;2;D2;7
105480;2017-12-20;2017-12-26;6;D3;4
105487;2017-10-08;2017-10-14;6;D3;8
105494;2016-11-10;2016-11-12;2;D1;8
105508;2015-09-24;2015-09-29;5;D3;4
105543;2017-11-24;2017-11-24;0;D0;2
105571;2015-11-07;2015-11-11;4;D3;5
105578;2016-05-30;2016-06-04;5;D3;7
105585;2016-08-26;2016-08-27;1;D1;7
105599;2015-09-07;2015-09-07;0;D0;3
105613;2015-10-18;2015-10-22;4;D3;1
105620;2017-12-25;2017-12-28;3;D1;6
105627;2015-03-08;2015-03-12;4;D3;2
105634;2015-11-08;2015-11-14;6;D3;3
105648;2014-03-03;2014-03-07;4;D3;7
105662;2016-05-05;2016-05-09;4;D3;6
105669;2017-09-17;2017-09-22;5;D2;1
105676;2015-12-01;2015-12-02;1;D0;2
105690;2015-11-21;2015-11-26;5;D2;2
105697;2017-08-25;2017-08-27;2;D1;4
105725;2015-02-18;2015-02-24;6;D3;8
105732;2016-09-13;2016-09-18;5;D3;2
105746;2016-12-30;2017-01-01;2;D1;3
105753;2016-10-20;2016-10-26;6;D3;6
105760;2016-06-19;2016-06-20;1;D1;8
105767;2014-05-23;2014-05-27;4;D3;4
105781;2016-02-16;2016-02-20;4;D3;4
105809;2017-02-20;2017-02-23;3;D1;8
105816;2016-12-11;2016-12-17;6;D3;4
105823;2017-06-22;2017-06-26;4;D3;2
105830;2016-12-31;2017-01-02;2;D1;4
105844;2015-10-25;2015-10-27;2;D2;7
105851;2017-03-13;2017-03-20;7;D3;7
105872;2014-05-30;2014-06-06;7;D3;3
105886;2017-12-18;2017-12-23;5;D3;4
105893;2014-11-11;2014-11-18;7;D3;2
105900;2016-09-17;2016-09-23;6;D3;2
105914;2017-10-02;2017-10-08;6;D3;8
105921;2017-08-14;2017-08-21;7;D3;7
105935;2017-01-26;2017-01-31;5;D3;6
105963;2016-11-15;2016-11-22;7;D3;8
105970;2015-03-02;2015-03-07;5;D3;2
105984;2014-11-24;2014-11-24;0;D0;3
105991;2017-05-05;2017-05-06;1;D1;7
105998;2017-11-03;2017-11-05;2;D1;7
106033;2017-10-15;2017-10-18;3;D2;8
106047;2017-07-12;2017-07-18;6;D3;4
106054;2014-01-06;2014-01-07;1;D1;5
106068;2017-10-23;2017-10-28;5;D3;2
106075;2016-09-18;2016-09-23;5;D3;4
106103;2017-06-10;2017-06-15;5;D3;2
106131;2017-01-14;2017-01-16;2;D1;8
106145;2017-09-26;2017-09-26;0;D0;8
106180;2017-09-18;2017-09-23;5;D3;8
106187;2015-06-23;2015-06-29;6;D3;5
106208;2015-12-10;2015-12-15;5;D3;2
106215;2015-04-16;2015-04-21;5;D3;3
106229;2014-06-07;2014-06-11;4;D2;2
106243;2016-09-30;2016-10-04;4;D3;3
106257;2015-04-13;2015-04-17;4;D2;7
106264;2014-12-26;2014-12-30;4;D3;7
106278;2016-09-02;2016-09-05;3;D2;7
106299;2014-08-02;2014-08-08;6;D3;2
106306;2016-03-08;2016-03-08;0;D0;8
106313;2016-08-22;2016-08-26;4;D3;7
106320;2015-09-25;2015-09-30;5;D3;7
106334;2014-12-27;2015-01-02;6;D3;8
106341;2016-10-20;2016-10-23;3;D1;3
106355;2017-04-02;2017-04-05;3;D1;3
106362;2015-12-11;2015-12-15;4;D3;4
106376;2014-12-05;2014-12-10;5;D3;7
106383;2016-03-19;2016-03-21;2;D2;7
106397;2016-07-07;2016-07-13;6;D3;7
106432;2017-10-19;2017-10-24;5;D3;1
106439;2014-10-31;2014-11-04;4;D3;7
106460;2016-02-19;2016-02-22;3;D2;7
106495;2015-06-15;2015-06-17;2;D1;5
106530;2016-05-08;2016-05-08;0;D0;4
106537;2017-08-12;2017-08-17;5;D3;5
106551;2017-07-22;2017-07-27;5;D3;1
106558;2016-01-17;2016-01-21;4;D3;5
106565;2015-03-20;2015-03-23;3;D1;2
106572;2014-09-05;2014-09-10;5;D3;4
106579;2017-06-08;2017-06-13;5;D3;2
106600;2016-04-08;2016-04-11;3;D1;6
106621;2016-09-29;2016-10-01;2;D2;8
106656;2016-09-23;2016-09-26;3;D1;7
106663;2017-06-09;2017-06-13;4;D3;1
106677;2016-11-05;2016-11-10;5;D3;3
106691;2017-11-06;2017-11-12;6;D3;1
106705;2017-12-26;2018-01-01;6;D3;1
106719;2014-08-24;2014-08-24;0;D0;7
106726;2014-12-06;2014-12-08;2;D1;7
106747;2017-07-03;2017-07-04;1;D1;3
106782;2017-12-21;2017-12-27;6;D3;2
106796;2017-05-12;2017-05-19;7;D3;4
106803;2014-12-29;2015-01-02;4;D3;1
106810;2014-05-14;2014-05-20;6;D3;5
106824;2017-07-07;2017-07-11;4;D3;7
106831;2017-06-01;2017-06-03;2;D1;3
106852;2017-06-20;2017-06-27;7;D3;4
106859;2017-03-13;2017-03-18;5;D2;8
106873;2015-09-24;2015-09-29;5;D2;7
106894;2016-02-07;2016-02-07;0;D0;5
106915;2016-11-26;2016-12-02;6;D3;1
106943;2017-11-14;2017-11-19;5;D3;3
106950;2016-09-02;2016-09-06;4;D3;6
106964;2017-12-17;2017-12-20;3;D1;8
106971;2014-09-02;2014-09-08;6;D3;2
106978;2015-09-28;2015-10-04;6;D3;8
106992;2014-09-19;2014-09-21;2;D2;1
107020;2015-07-10;2015-07-14;4;D3;8
107083;2015-11-21;2015-11-27;6;D3;2
107104;2016-11-26;2016-11-30;4;D3;7
107125;2017-11-27;2017-12-02;5;D3;7
107132;2017-06-26;2017-06-30;4;D3;3
107139;2014-07-05;2014-07-11;6;D3;7
107146;2016-06-17;2016-06-19;2;D1;7
107153;2014-09-28;2014-10-03;5;D3;4
107167;2017-06-10;2017-06-14;4;D3;5
107174;2017-11-06;2017-11-13;7;D3;7
107181;2014-02-04;2014-02-08;4;D3;8
107202;2016-05-21;2016-05-28;7;D3;7
107209;2017-07-27;2017-08-01;5;D2;6
107216;2016-06-14;2016-06-17;3;D1;7
107244;2017-09-07;2017-09-11;4;D3;7
107265;2017-04-06;2017-04-12;6;D3;2
107272;2017-11-05;2017-11-12;7;D3;8
107293;2017-09-05;2017-09-06;1;D1;7
107314;2017-11-30;2017-12-03;3;D1;7
107321;2017-08-31;2017-09-04;4;D3;8
107328;2016-08-08;2016-08-15;7;D3;7
107342;2017-12-17;2017-12-22;5;D3;1
107349;2015-07-13;2015-07-15;2;D1;2
107384;2017-12-04;2017-12-08;4;D3;1
107398;2014-08-25;2014-08-30;5;D3;4
107405;2014-03-21;2014-03-25;4;D3;5
107440;2016-04-16;2016-04-20;4;D3;4
107454;2014-11-02;2014-11-06;4;D3;4
107461;2017-12-21;2017-12-26;5;D2;6
107468;2015-12-18;2015-12-22;4;D3;7
107475;2016-06-07;2016-06-11;4;D3;4
107503;2017-01-01;2017-01-06;5;D3;3
107517;2017-02-05;2017-02-09;4;D3;8
107524;2014-03-02;2014-03-08;6;D3;3
107552;2017-05-05;2017-05-05;0;D0;4
107573;2014-12-12;2014-12-17;5;D3;6
107594;2014-07-02;2014-07-06;4;D3;4
107615;2016-03-22;2016-03-25;3;D1;8
107629;2017-12-14;2017-12-14;0;D0;1
107636;2017-04-30;2017-05-02;2;D1;4
107678;2015-04-21;2015-04-28;7;D3;6
107685;2015-11-30;2015-12-02;2;D2;8
107699;2014-05-19;2014-05-23;4;D3;1
107706;2014-02-14;2014-02-19;5;D2;2
107713;2017-03-13;2017-03-17;4;D3;4
107720;2017-11-06;2017-11-13;7;D3;3
107727;2017-10-19;2017-10-23;4;D2;2
107741;2015-03-08;2015-03-10;2;D1;7
107748;2017-12-10;2017-12-12;2;D2;8
107755;2014-02-07;2014-02-12;5;D3;4
